2021/10/26,14:10:41,move_back,0000/00/00,00:00:00
2021/10/26,14:10:41,stop,0000/00/00,00:00:00
2021/10/26,14:10:41,move_back,0000/00/00,00:00:00
2021/10/26,14:10:42,stop,0000/00/00,00:00:00
2021/10/26,14:10:42,move_back,0000/00/00,00:00:00
2021/10/26,14:10:42,stop,0000/00/00,00:00:00
2021/10/26,14:10:44,move_back,0000/00/00,00:00:00
2021/10/26,14:10:44,stop,0000/00/00,00:00:00
2021/10/26,14:11:03,move_forward,0000/00/00,00:00:00
2021/10/26,14:11:03,stop,0000/00/00,00:00:00
2021/10/26,14:11:04,move_forward,0000/00/00,00:00:00
2021/10/26,14:11:04,stop,0000/00/00,00:00:00
2021/10/26,14:11:06,move_forward,0000/00/00,00:00:00
2021/10/26,14:11:06,stop,0000/00/00,00:00:00
2021/10/26,14:11:08,move_back,0000/00/00,00:00:00
2021/10/26,14:11:08,stop,0000/00/00,00:00:00
2021/10/26,14:11:09,turn_right,0000/00/00,00:00:00
2021/10/26,14:11:09,stop,0000/00/00,00:00:00
2021/10/26,14:11:11,turn_left,0000/00/00,00:00:00
2021/10/26,14:11:11,stop,0000/00/00,00:00:00
2021/10/26,14:11:12,turn_left,0000/00/00,00:00:00
2021/10/26,14:11:12,stop,0000/00/00,00:00:00
2021/10/26,14:11:13,stop,0000/00/00,00:00:00
2021/10/26,14:11:14,stop,0000/00/00,00:00:00
2021/10/26,14:11:15,turn_left,0000/00/00,00:00:00
2021/10/26,14:11:15,stop,0000/00/00,00:00:00
2021/10/26,14:11:16,turn_right,0000/00/00,00:00:00
2021/10/26,14:11:17,stop,0000/00/00,00:00:00
2021/10/26,14:11:18,move_back,0000/00/00,00:00:00
2021/10/26,14:11:18,stop,0000/00/00,00:00:00
2021/10/26,14:11:19,move_forward,0000/00/00,00:00:00
2021/10/26,14:11:19,stop,0000/00/00,00:00:00
2021/10/26,14:11:20,move_forward,0000/00/00,00:00:00
2021/10/26,14:11:20,stop,0000/00/00,00:00:00
2021/10/26,14:11:21,move_back,0000/00/00,00:00:00
2021/10/26,14:11:21,stop,0000/00/00,00:00:00
2021/10/26,14:11:23,move_back,0000/00/00,00:00:00
2021/10/26,14:11:23,stop,0000/00/00,00:00:00
2021/10/26,14:11:23,move_back,0000/00/00,00:00:00
2021/10/26,14:11:23,stop,0000/00/00,00:00:00
2021/10/26,14:11:24,move_back,0000/00/00,00:00:00
2021/10/26,14:11:24,stop,0000/00/00,00:00:00
